Title,Category,SubCategory,Info
Flea Market Décor - October 2018,Books,Magazines,English | 132 pages | True PDF | 21.5 MB
Arabian Horse World - September 2018,Books,Magazines,English | 180 pages | True PDF | 19.4 MB
Aiseesoft Blu-ray Player 6.6.16 Multilingual Portable,Applications,Windows,File size: 39.2 MB
Unleashing Usury: How Finance Opened the Door for Capitalism Then Swallowed It Whole,Books,EBooks,"English | April 15, 2016 | ISBN: 0986085332 | EPUB | 232 pages | 0.7 MB"
"Practical Control Engineering: Guide for Engineers, Managers, and Practitioners (EPUB)",Books,EBooks,ISBN: 0071606130 | 2009 | English | EPUB | 508 pages | 21 MB
Dissertation Research and Writing for Construction Students,Books,EBooks,"English | June 			  		   	  		 			  		   	  	 			   		  	   		  	   		 	 	  	 			   		  	   		   	  		      	 			   		  	   		      		 	 				 28, 2017 | ISBN: 1138414409 | 264 pages | AZW3 | 6.71 MB"
The Wildatarian Diet: Living as Nature Intended,Books,EBooks,"English | March 30, 2018 | ISBN: 0692067434 | 216 pages | AZW3 			  		   	  		 			  		   	  	 			   		  	   		  	   		 	 	  	 			   		  	   		   	  		      	 			   		  	   		      		 	 				 | 6.71 MB"
"busuu: Learn Languages - Spanish, English & More v14.1.2.215 Premium",Applications,Android,
Rhino 6 SR10 version 6.10.18252.10571,Applications,Windows,OS: Windows 64bit | Language: Multilanguage | Size: 1.5 GB
Bruce Springsteen - The Essential Bruce Springsteen (2015) (Hi-Res),Music,Vinyl & HR,"
24Bit/96 kHz FLAC | 2h 34 min | Genre: Rock, Folk Rock | Label: Columbia/Legacy | 2015 | 3.2 GB"
I Need a Killer Press Release--Now What???: A Guide to Online PR,Books,EBooks,"English | 2009 | ISBN: 1600051545 | 158 pages | PDF | 0,6 MB"
Texture Magic: Procedural Textures for Blender Cycles,Books,EBooks,"English | May 30, 2016 | ISBN: N/A | ASIN: B01DI5KK44 | 145 pages | AZW3 | 7.52 MB"
8 Steps to Building Innovating Organizations (PDF),Books,EBooks,"English | 2007 | ISBN: 0761935592 | 142 pages | PDF | 0,5 MB"
Dam Busters: Canadian Airmen and the Secret Raid Against Nazi Germany,Books,EBooks,"English | September 11th, 2018 | ISBN: 1443455431 | 472 Pages | EPUB | 19.88 MB"
The Future: Based on the Ages theory,Books,EBooks,"English | February 21st, 2018 | ISBN: 1619848910 | 257 Pages | EPUB 			  		      	 			   		      	 			   		      	 			   		    			 | 23.70 MB"
The Insiders Guide to the STM32 ARM based Microcontroller Hitex,Books,EBooks,English | 2008 | ISBN: 095499888X | 96 pages | True PDF | 6.47 MB
"Mechanics of Materials, Brief Edition, by James M. Gere",Books,EBooks,English | 2011 | ISBN: 1111136025 | PDF | 608 pages | 44.02 MB
Scoompa Video - Slideshow Maker and Video Editor v24.2 PRO,Applications,Android,
Auto Bild Germany - 16/08/2018,Books,Magazines,Deutschland  | 84 pages | True PDF | 16 MB
Automovil Spain - 09/2018,Books,Magazines,Spanish | 118 pages | True PDF | 21 MB
Traveling Wave Analysis of Partial Differential Equations: Numerical and Analytical Methods with Matlab and Maple,Books,EBooks,2012 | ISBN: 0123846528 | English | PDF | 461 pages | 7.67 MB
Managing Depression in the Workplace,Other,Video Tutorials,"MP4 | Video: h264, 1280x720 | Audio: AAC, 48 KHz, 2 Ch ,
Genre: eLearning | Language: English + .SRT ,
Level: Appropriate for all | Duration: 1h 3m | 549 MB"
Advanced React and Redux: 2018 Edition,Other,Video Tutorials,"
$140 | Created by Stephen Grider | Last Updated 6/2018,
Duration: 21 hours |  Video: h264, 1280x720 | Audio: AAC, 44 KHz, 2 Ch | 8.8 GB,
Genre: eLearning | Language: English + Sub | 4 Articles"
Guitar Rhythm and Technique For Dummies (PDF),Books,EBooks,2015 | ISBN: 1119022878 | English | 216 pages | PDF | 12 MB
Statistics for Health Care Management and Administration: Working with Excel,Books,EBooks,"2016 | ISBN: 111871265X, 978-1118712658| English | PDF | 560 pages | 19 MB"
The Next Version of You: 12 Stories That Highlight the Use of Intuition to Update Your Life,Books,EBooks,"English | May 14th, 2018 | ISBN: 1732351104 | 170 Pages | EPUB | 0.35 MB"
"Mechanical Properties of Ceramics, by John B. Wachtman",Books,EBooks,English | 2009 | ISBN: 0471735817 | PDF | 496 pages | 14.08 MB
"Handbook of Battery Materials, 2nd Edition, 2 Volume Set Edition",Books,EBooks,English | 2011 | ISBN: 3527326952 | PDF | 1023 pages | 28.09 MB
Successful Serging: From Setup to Simple and Specialty Stitches,Books,EBooks,2009 | ISBN: 1589234618 | English | 128 pages | PDF | 46 MB
English Grammar Master v4.0.1-adfree,Applications,Android,
"The Ultimate Stallone Reader: Sylvester Stallone as Star, Icon, Auteur",Books,EBooks,"2014 | ISBN: 0231850646, 9780231850643 | English | 305 pages | PDF | 8 MB"
"Mechanics of Materials 3rd Edition, by Roy R. Craig",Books,EBooks,English | 2011 | ISBN: 0470481811 | PDF | 858 pages | 68.52 MB
"TWITTER Surviving Change: Rules, Retweets, Responsibilities",Books,EBooks,"English | August 11th, 2018 | ISBN: 1732358214 | 96 Pages | EPUB | 0.53 MB"
Dominion 2018 HD 1080P X264 AAC English CHS,TV,,"
Language: English,
  2.23 GiB | 1 h 59 min | 2 656 kb/s | MPEG-4 | 1280x720 | AAC, 48.0 kHz, 2 channels, 128 kb/s,
Genre: Documentary "
Network Utilities v7.7.6 build 126 Premium,Applications,Android,
Heat UK - 15 September 2018,Books,Magazines,English | 100 pages | True PDF | 17.0 MB
"Embracing Empathy: A Universal Approach To Person-Centred, Empathic Healthcare Encounters",Books,EBooks,2014 | ISBN-10: 1909368180 | 133 pages | PDF | 2 MB
Applied Natural Language Processing with Python,Books,EBooks,"English | PDF,EPUB | 2018 | 158 Pages | ISBN : 1484237323 | 5.71 MB"
The Children Act 2018 1080p WEB-DL DD5.1 H264-CMRG,Movies,,"
Language: English,
4.13 GiB | 1 h 45 min | 5 590 kb/s | Matroska | 1920x1036 | AC-3, 48.0 kHz, 6 channels, 384 kb/s,
Genre: Drama"
Research Methods in Psychology by Glynis Breakwell,Books,EBooks,"English | May 15, 2012 | ISBN: 0857022644 | 616 pages | AZW3 | 6.35 MB"
"Burning Down the Haus: Punk Rock, Revolution, and the Fall of the Berlin Wall (True PDF)",Books,EBooks,"English | September 11th, 2018 | ISBN: 1616208430 | 385 Pages | True PDF | 3.10 MB"
"The Way of Beauty: Liturgy, Education, and Inspiration for Family, School, and College",Books,EBooks,"English | July 20, 2015 | 			  		      	 			   		      	 			   		      	 			   		    			 ISBN: 1621381412 | 282 pages | AZW3 | 7.09 MB"
The Law of Journalism and Mass Communication,Books,EBooks,"English | December 4, 2017 | ISBN: 1506363229 | 704 pages | AZW3 | 7.10 MB"
"The Sky Is Falling: How Vampires, Zombies, Androids, and Superheroes Made America Great for Extremism",Books,EBooks,"English | September 11th, 2018 | ISBN: 1620974290, 0241373859 | 256 Pages | EPUB | 1.02 MB"
Sew Scandinavian: 35 stylish projects to stitch,Books,EBooks,"English | September 15th, 2017 | ISBN: 1782492410 | 128 Pages | EPUB | 13.45 MB"
What I Learnt as an Analyst: Sharing of Experience in Investment and Analysis,Books,EBooks,"English | June 24th, 2018 | ISBN: 9671560717 | 208 Pages | EPUB | 7.26 MB"
The Aging of Aquarius: Igniting Passion and Purpose as an Elder,Books,EBooks,"English | September 18th, 2018 | ISBN: 0865718946 | 208 Pages | EPUB | 1.56 MB"
Ugly Love: A Survivors Story of Narcissistic Abuse,Books,EBooks,"English | September 1st, 2018 | ISBN: 1543933874 | 190 Pages | EPUB | 2.45 MB"
Death on the Victorian Beat: The Shocking Story of Police Deaths,Books,EBooks,"English | May 30, 2018 | ISBN: 1526705923 | EPUB | 200 pages | 9.7 MB"
Tropical Inferno 1978 720p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 19 min | 964 MiB | 1 706 kb/s | 1280x720 | AAC @ 224 kb/s, 2 channels | mp4,
Genre: Action | Crime | Drama | Horror"
Wine Science: The Application of Science in Winemaking,Books,EBooks,English | 3 Feb. 2014 | ISBN: 1845338782 			  		      	 			   		      	 			   		      	 			   		    			 | 218 pages | AZW3 | 7.31 MB
Foundations of Financial Risk: An Overview of Financial Risk and Risk-based Financial Regulation,Books,EBooks,"English | June 2, 2015 | ISBN: 111909805X | 368 pages | AZW3 | 6.37 MB"
Computer Vision in Sports (Advances in Computer Vision and Pattern Recognition),Books,EBooks,"English | January 20, 2015 | ISBN: 3319093959 | 319 pages | AZW3 | 7.07 MB"
I Am Home: Portraits of Immigrant Teenagers,Books,EBooks,"English | September 11th, 			  		   	  		   	  		 		   	 			   		   	  		      		  		  	 			   		  	   		  	   		   	  	 			   			     			  				 2018 | ISBN: 1946764116 | 120 Pages | EPUB | 34.76 MB"
Technology for a Quieter America,Books,EBooks,English | 2010 | ISBN: 0309156327 | PDF | 210 pages | 6.37 MB
"Mechanics of Materials 6th Edition, by Ferdinand Beer",Books,EBooks,English | 2011 | ISBN: 0073380288 | PDF | 832 pages | 33.98 MB
Physical Control of the Mind: Toward a Psychocivilized Society,Books,EBooks,"English | January 1, 1970 | ISBN: 1530689732 | 300 pages | AZW3 | 6.43 MB"
i-build - September 2018,Books,Magazines,English | 56 pages | PDF | 14.70 MB
Reliability and Failure of Electronic Materials and Devices (2nd Edition),Books,EBooks,English | 2014 | ISBN: 0120885743 | PDF | 758 pages | 70.64 MB
Data Management: Foundations of Data Analytics,Books,EBooks,"English | December 27, 2013 | ISBN: N/A | ASIN: B00E8HS8N2 | 472 pages | AZW3 | 7.33 MB"
Seven - 7 Minute Workout Training Challenge v7.3.12-full,Applications,Android,
CliffsNotes NCLEX-RN Cram Plan,Books,EBooks,"English | September 11th, 2018 | ISBN: 1328900835 | 288 Pages | EPUB | 41.64 MB"
VA - TB Music Presents #Dance & Trance 2018 (2018) Mp3,Music,Mp3,"
Original Release Date: May 4, 2018,
Genre: Electronic, Trance, Progressive,
Format: MP3 320Kbps,
Size: 298 MB,
Total Length: 138: 49"
Learning Express JS : Creating Future Web Apps & REST APIs,Other,Video Tutorials,"MP4 | Video: h264, 1280x720 | Audio: AAC, 48 KHz, 2 Ch,
Genre: eLearning | Language: English | Duration: 3.5 hours | Size: 1.33 GB"
Lernen mit Zukunft - 6 September 2018,Books,Magazines,Deutschland | 132 pages | True PDF | 16 MB
VA - Fifty Shades Of Deep House Vol 2 (2018) Mp3,Music,Mp3,"
Original Release Date: June 5, 2018 ,
Genre: House, Tech House, Deep House ,
Format: MP3 320Kbps,
Size: 776 MB ,
Total Length:4:08:10"
evo UK - November 2018,Books,Magazines,English | 172 pages | PDF | 44.9 Mb
"Mechanical Behavior of Materials (2nd Edition), by Marc André Meyers",Books,EBooks,English | 2008 | ISBN: 0521866758 | PDF | 882 pages | 16.95 MB
The Addictive Brain (The Great Courses),Other,Video Tutorials,"MP4 | Video: 856x480 | Audio: AAC, 48Khz, 2ch | Duration: 6h 58 min | Language: English | 4.1 GB"
"I Thought It Was Just Me (but it isn't): Making the Journey from ""What Will People Think?"" to ""I Am Enough""",Books,EBooks,"English | 2007-12-27 | ISBN: 1592403352 | 336 pages | MOBI | 0,8 Mb"
Salvation S02E12 1080p WEB x264-TBS,TV,,"
Language: English,
43 min 45 s | 1.41 GiB | 4 612 kb/s | 1920x1080 | AAC @ 125 kb/s, 2 channels | mkv,
Genre: Drama | Sci-Fi | Thriller"
The Resistance Banker 2018 1080p NF WEB-DL DD5.1 H264-CMRG,Movies,,"
Language: English,
3.40 GiB | 2 h 3 min | 3 944 kb/s | Matroska | 1920x1080 | E-AC-3, 48.0 kHz, 6 channels, 640 kb/s,
Genre: Drama | War"
Tech Advisor - November 2018,Books,Magazines,English | 144 pages | True PDF | 9.8 MB
Aiseesoft MobieSync 1.0.8 Multilingual,Applications,Windows,File size: 72.4 MB
"Statics and Strength of Materials for Architecture and Building Construction (4th Edition), by Barry S. Onouye",Books,EBooks,English | 2011 | ISBN: 013507925X | PDF | 624 pages | 35.46 MB
Mulholland Falls 1996 720p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 46 min | 1.29 GiB | 1 730 kb/s | 1280x694 | AAC @ 224 kb/s, 2 channels | mp4,
Genre:Crime | Drama | Mystery | Thriller"
VA - Ibiza Funk'18 (2018),Music,Mp3,"
Original Release Date: August 8, 2018,
Genre: Funky, Groove, Future House,
Format: MP3 320Kbps,
Size: 388 Mb,
Total Length:2:44:33"
Siberia 2018 BluRay 1080p DTS x265 10bit-CHD,Movies,,"
Language: English,
 5.94 GiB | 1 h 44 min | 8 126 kb/s | Matroska | 1920x804 | DTS, 48.0 kHz, 6 channels, 1 509 kb/s,
Genre: Crime | Romance | Thriller"
"Mastering ArcGIS, 7th Edition",Books,EBooks,English | 2015 | ISBN: 007809514X | PDF | pages: 619 | 60.3 MB
String Quilts: 11 Fun Patterns for Innovating and Renovating,Books,EBooks,"English | February 2, 2016 | ISBN: 1680990608 | 			  		   	  		   	  		 		   	 			   		   	  		      		  		  	 			   		  	   		  	   		   	  	 			   			     			  				 88 pages | AZW3 | 7.70 MB"
The Flavours of Andalucia,Books,EBooks,"English | July 13th, 2018 | ISBN: 1910690481 | 176 Pages | EPUB | 22.66 MB"
"Facebook, twitter and email marketing in 30 mint",Other,Video Tutorials,"
$20 | Created by salman ali Syed | Last Updated 6/2018,
Duration: 30 mins |  Video: h264, 1280x720 | Audio: AAC, 44 KHz, 2 Ch | 382 MB,
Genre: eLearning | Language: English | 8 Lectures"
Camera360: Selfie Photo Editor with Funny Sticker v9.3.7 build 109307100-mod,Applications,Android,
The Verdun Regiment: Into the Furnace: The 151st Infantry Regiment in the Battle of Verdun 1916,Books,EBooks,"English | October 5th, 2018 | ISBN: 1526710293 | 256 Pages | EPUB | 9.48 MB"
Jurassic World Fallen Kingdom 2018 1080p BluRay 10bit x265 HEVC AAC 7.1 Q22 [UTR],Movies,,"
Language: English,
 1.77 GiB | 2 h 8 min | 1 971 kb/s | Matroska | 1920x800 | AAC, 48.0 kHz, 7 channels, 353 kb/s,
Genre: Action | Adventure | Sci-Fi"
Sew Scandinavian: 35 stylish projects to stitch,Books,EBooks,"English | September 15th, 2017 | ISBN: 1782492410 | 128 Pages | EPUB | 13.45 MB"
Worse Than Trump: The American Plantation,Books,EBooks,"English | July 22nd, 2018 | ISBN: 154393787X | 171 Pages | EPUB | 0.72 MB"
The Stepford Employee Fallacy: The Truth About Employee Engagement in the Modern Workplace,Books,EBooks,"English | September 11th, 2018 | ISBN: 1543933742| 280 Pages | EPUB | 1.42 MB"
"GPS and Galileo: Dual RF Front-end receiver and Design, Fabrication, & Test (EPUB)",Books,EBooks,ISBN: 0071598693 | 2008 | EPUB | 208 pages | 5 MB
"Interview Faqs & Ans: Javascript, NodeJS, ReactJS, AngularJS",Other,Video Tutorials,"
$20 | Created by Satish Venkatesh | Last Updated 8/2018,
Duration: 4.5 hours |  Video: h264, 1280x720 | Audio: AAC, 44 KHz, 2 Ch | 1.9 GB,
Genre: eLearning | Language: English + Sub | 1 Article"
VA - Ministerium Records: Caribbean Summer 18 (2018),Music,Mp3,"
Original Release Date: August 31, 2018,
Genre: House, Tech House, Deep House,
Format: MP3 320Kbps,
Size: 131 MB,
Total Length:56:51"
CCDE In-Depth,Books,EBooks,"English | November 2, 2016 | ISBN: 1539817199 | 562 pages | AZW3 | 7.01 MB"
The Man Who Moved the Nation: A Daughter's Story,Books,EBooks,"English | September 7th, 2018 | ISBN: 1781175705 | 224 Pages | EPUB | 3.28 MB"
The Last Hunt 1956 1080p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 43 min | 1.97 GiB | 2 731 kb/s | 1920x800 | AAC @ 224 kb/s, 2 channels | mp4,
Genre:Drama | Western"
Malone 1987 PROPER 1080p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 31 min | 1.75 GiB | 2 730 kb/s | 1920x1040 | AAC @ 224 kb/s, 2 channels | mp4,
Genre: Action | Drama | Thriller"
"Pulsar Music Player - Audio Player, Mp3 Player v1.8.6 build 137",Applications,Android,
Stroker Ace 1983 WEBRip x264-ION10,Movies,,"
Language: English,
1 h 34 min | 915 MiB | 1 354 kb/s | 720x400 | AAC @ 256 kb/s, 2 channels | mp4,
Genre:Action | Comedy | Romance | Sport"
UX For Dummies,Books,EBooks,2014 | ISBN: 1118852788 | English | 332 pages | EPUB | 3.6 MB
Atlas Magazine - Fall 2018,Books,Magazines,English | 134 pages | PDF | 17.30 MB
Emmy Magazine - September  2018,Books,Magazines,English | 60 pages | True PDF | 8.1 MB
New World Order: Blueprint of Madmen (2012)  BRRip XviD Mp3 roflcopter2110,TV,,
The Complete Guide to Shoji and Kumiko Patterns Volume 3,Books,EBooks,"English | September 1, 2013 | ISBN: N/A | ASIN: B00EXPZBPM | 190 pages | AZW3 | 6.87 MB"
The Complete Guide to Shoji and Kumiko Patterns Volume 2,Books,EBooks,"English | June 3, 2013 | ISBN: N/A | ASIN: B00D6LQ8GU | 174 pages | AZW3 | 			  		   	  		   	  		 		   	 			   		   	  		      		  		  	 			   		  	   		  	   		   	  	 			   			     			  				 6.87 MB"
Brain World - September 2018,Books,Magazines,English | 72 pages | True PDF | 8.0 MB
Churches in Rome: A complete guide to the most important churches in Rome,Books,EBooks,"English | July 23, 2015 | ISBN: 1515206238 | 142 pages | AZW3 | 7.47 MB"
Cellular Networks: Design and Operation - A Real World Perspective,Books,EBooks,"English | August 27, 2014 | ISBN: 1478732083 | 408 pages | AZW3 | 7.38 MB"
Why Does Batman Carry Shark Repellent?: And Other Amazing Comic Book Trivia!,Books,EBooks,"English | May 29, 2012 | ISBN: 0452297842 | 288 pages | AZW3 | 7.57 MB"
Business and Corporate Aviation Management,Books,EBooks,"English | May 14, 2013 | ISBN: 0071801901 | 432 pages | AZW3 | 7.65 MB"
Beating Cancer with Nutrition: Optimal Nutrition Can Improve Outcome in Medically Treated Cancer Patients,Books,EBooks,"English | November 15, 2011 (2005) | ISBN: 096383729X | EPUB | 414 pages | 14.1 MB"
100 Bloody Acres 2012 1080p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 30 min | 1.73 GiB | 2 730 kb/s | 1920x800 | AAC @ 224 kb/s, 2 channels | mp4,
Genre:Comedy | Horror"
The First World War: A New History,Books,EBooks,"English | February 13, 2014 | ISBN: 1471134261 | 400 pages | AZW3 | 7.62 MB"
The Insatiable 2006 720p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 42 min | 1.24 GiB | 1 732 kb/s | 1280x720 | AAC @ 224 kb/s, 2 channels | mp4,
Genre: Comedy | Horror | Romance | Thriller"
"CCleaner: Memory Cleaner, Phone Booster, Optimizer v4.8.1 Professional Mod",Applications,Android,
Nature - 16 August 2018,Books,Magazines,English | 339 pages | True PDF | 217.51 MB
Nature - 30 August 2018,Books,Magazines,English | 360 pages | True PDF | 237.87 MB
Little Foodie: Baby Food Recipes for Babies and Toddlers with Taste,Books,EBooks,2015 | 228 Pages | ISBN: 1942411049 | EPUB | 5 MB
Intrace: Visual Traceroute v1.52 build 252 Premium,Applications,Android,
Probability Theory: A Concise Course (Dover Books on Mathematics),Books,EBooks,"English | June 1, 1977 | ISBN: 0486635449 | 160 pages | AZW3 | 6.76 MB"
Building Design + Construction September 2018,Books,Magazines,English | True PDF | 84 pages | 15.3 MB
The Unicorn Craft Book: Over 25 Magical Projects to Inspire Your Imagination,Books,EBooks,"English | August 9th, 2018 | ISBN: 1631583034 | 168 Pages | EPUB | 10.91 MB"
Kama: The Riddle of Desire,Books,EBooks,2018 | ISBN: 0670087378 | English | 320 pages | EPUB/AZW3 | 0.7 MB/0.8 MB
MyRadar NOAA Weather Radar v7.2.8 PRO,Applications,Android,
The Oxford Handbook of Innovation Management (Oxford Handbooks),Books,EBooks,"English | February 28, 2014 | ISBN: 019969494X | 720 pages | AZW3 | 6.60 MB"
Charlottes Web 2006 1080p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 36 min | 1.85 GiB | 2 730 kb/s | 1920x1080 | AAC @ 224 kb/s, 2 channels | mp4,
Genre: Comedy | Family | Fantasy"
MediaInfo 18.08.1 macOS,Applications,macOS,macOS 10.6 or later | Language: Multilanguage | Size: 6 MB
TripMode 2.2.0 macOS,Applications,macOS,macOS 10.10 or later | Language: English | Size: 17 MB
"Storm Proofing your Boat, Gear, and Crew: Surviving a large storm aboard a small boat on a big ocean",Books,EBooks,"English | May 29, 2016 | ISBN: 1533352720 | 338 pages | AZW3 | 6.58 MB"
Brewing: RSC,Books,EBooks,"English | July 5, 2013 | ISBN: 1849736022 | 332 pages | AZW3 | 6.61 MB"
Leading Organizational Learning: Harnessing the Power of Knowledge (PDF),Books,EBooks,English | 2004 | ISBN: 0787972185 | Pages: 384 | PDF | 3 MB
Call Recorder - Automatic Call Recorder - callX v6.9 Premium,Applications,Android,
DJ Ostkurve - Best of DJ Ostkurve (2018) Mp3 / Flac,Music,Lossless,"
Mp3 CBR 320 kbps / Flac (tracks) | Schlager, Pop, House, Dance | 1:52:09 | 258 / 888 MB"
"Going Down to the River: A Homeless Musician, an Unforgettable Song, and the Miraculous Encounter that Changed a Life",Books,EBooks,"English | September 11th, 2018 | ISBN: 0718095677 | 304 Pages | EPUB | 0.46 MB"
Automatic Call Recorder & Hide App Pro-callBOX v5.2-mod,Applications,Android,
Supply Chain Management at Warp Speed: Integrating the System from End to End,Books,EBooks,"English | 2009-04-28 | ISBN: 1420073354 | 232 pages | PDF | 3,8 MB"
Character Disturbance: The Phenomenon of Our Age,Books,EBooks,English | 2011 | ISBN: 1935166328 | 256 			  		      	 			   		      	 			   		      	 			   		    			 Pages | EPUB | 1.2 MB
Every Woman's Guide To Saving The Planet,Books,EBooks,"English | September 11th, 2018 | ISBN: 0733339670 | 256 Pages | EPUB | 2.62 MB"
Elementary S06E20 1080p WEB x264-TBS,TV,,"
Language: English,
42 min 24 s | 1.37 GiB | 4 613 kb/s | 1920x1080 | AAC @ 125 kb/s, 2 channels | mkv,
Genre: Crime | Drama | Mystery"
Strategic Innovation: Embedding Innovation as a Core Competency in Your Organization,Books,EBooks,"English | ISBN: 0787964050 | 2003-06-30 | Pages: 240 | PDF | 1,7 MB"
An Unfinished Life 2005 1080p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 47 min | 2.06 GiB | 2 730 kb/s | 1920x808 | AAC @ 224 kb/s, 2 channels | mp4,
Genre: Drama"
Coffee The Drink That Changed America (2018) 1080p WEB h264-KOMPOST,TV,,
Party Night 2018 HDRip XviD AC3-EVO,Movies,,"
Language: English,
1.05 GiB | 1 h 10 min | 2 137 kb/s | AVI | 720x400 | AC-3, 48.0 kHz, 6 channels, 192 kb/s,
Genre: Horror"
"Stresses in Beams, Plates, and Shells, 3rd Edition",Books,EBooks,"2010 | ISBN: 143980270X, 9781439882528 | English | PDF | 596 pages | 48.82 MB"
12 OClock Boys 2013 1080p BluRay H264 AAC-RARBG,TV,,"
Language: English,
 1 h 15 min | 1.44 GiB | 2 730 kb/s | 1920x1080 | AAC @ 224 kb/s, 2 channels | mp4,
Genre: Documentary | Biography | Crime | Sport"
"Doctrine Collections: ManyToMany, Forms & other Complex Relations",Other,Video Tutorials,"
Duration: 2h 35m |  Video: h264, 1280x720 | Audio: AAC, 48kHz, 2 Ch | 837 MB,
Genre: eLearning | Language: English | Project Files"
"Beginning Reactive Programming with Swift: Using RxSwift, Amazon Web Services, and JSON with iOS and macOS",Books,EBooks,"English | PDF,EPUB | 2018 | 204 Pages | ISBN : 1484236203 | 23 MB"
Gator 1976 1080p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 56 min | 2.22 GiB | 2 731 kb/s | 1920x816 | AAC @ 224 kb/s, 2 channels | mp4,
Genre: Action | Drama | Crime"
Fearless 2017 S01 1080p AMZN WEB-DL x265 HEVC 10bit EAC3 6.0 r00t [QXR],TV,,"
Language: English,
4 h 33 min | 7.16 GiB | 3 720 kb/s | 1920x1080 | E-AC-3 @ 640 kb/s, 6 channels | mkv,
number Of Episode: 6,
Genre: Crime | Drama | Mystery | Thriller"
Aris Quartett - Shostakovich & Schubert: String Quartets (2018) [Official Digital Download],Music,Vinyl & HR,"
FLAC (tracks) 24-bit/48 kHz | Time - 65:02 minutes | 665 MB,
Studio Master, Official Digital Download | Artwork: Digital Booklet"
Advances in Intelligent Networking and Collaborative Systems: (INCoS-2018),Books,EBooks,"English | PDF,EPUB | 2018 (2019 Edition) | 570 Pages | ISBN : 3319985566 | 88.09 MB"
Embrace of the Vampire 1995 BRRip XviD MP3-XVID,Movies,,"
Language: English,
1 h 32 min | 1.16 GiB | 1 797 kb/s | 720x388 | MPEG Audio @ 192 kb/s, 2 channels | avi,
Genre: Horror | Thriller"
The Truth Has Changed,Books,EBooks,"English | September 11th, 2018 | ISBN: 1609809238 | 144 Pages | EPUB | 9.83 MB"
"Mechanics of Materials (8th Edition), by Russell C. Hibbeler",Books,EBooks,English | 2010 | ISBN: 0136022308 | PDF | 888 pages | 76.52 MB
House of Saddam S01 1080p WEB-DL AAC2.0 H.264-QUEENS,TV,,"
Language: English,
8.77 GiB | 4 h 3 min | 5 265 kb/s | Matroska | 1912x1072 | AAC, 48.0 KHz, 2 channels, 123 Kbps | 4 Episodes,
Genre: Biography | Drama | History"
Son of Dracula 1943 1080p BluRay H264 AAC-RARBG,Movies,,"
Language: English,
1 h 20 min | 1.53 GiB | 2 730 kb/s | 1456x1080 | AAC @ 224 kb/s, 2 channels | mp4,
Genre: Fantasy | Horror"
"Chatelaine's Modern Classics: The Very Best from the Chatelaine Kitchen: 250 Fast, Fresh, Flavourful Recipes",Books,EBooks,"2010 | ISBN: 0470739827, 1118218000 | English | 400 pages | PDF | 45 MB"
Harrow S01E01 1080p HDTV h264-SFM,TV,,"
Language: English,
41 min 37 s | 1.78 GiB | 6 106 kb/s | 1920x1080 | MPEG Audio @ 128 kb/s, 2 channels | mkv,
Genre:  Drama"
The Spirit of Joy: How to Live a Psycho-Spiritually Integrated Life,Books,EBooks,"English | July 31st, 2018 | ISBN: 1543938256 | 			  		      	 			   		      	 			   		      	 			   		    			 143 Pages | EPUB | 0.40 MB"
Welcome to the Age of Emotion: How to Attract and Connect With Customers Using Video,Books,EBooks,"English | July 26th, 2018 | ISBN: 1925648788 | 154 Pages | EPUB | 0.55 MB"
"Electromagnetic, Mechanical, and Transport Properties of Composite Materials (Surfactant Science), by Rajinder Pal",Books,EBooks,English | 2014 | ASIN: B00MOU4VJA | PDF | 442 pages | 6.92 MB
Harrow S01E02 1080p HDTV h264-SFM,TV,,"
Language: English,
41 min 37 s | 1.77 GiB | 6 098 kb/s | 1920x1080 | MPEG Audio @ 128 kb/s, 2 channels | mkv,
Genre:  Drama"
Marvels Agent Carter S01 Complete 720p BluRay X264-REWARD,TV,,"
Language: English,
17.4 GiB | 5 h 35 min | 7 322 kb/s | Matroska | 1280x720 | DTS, 48.0 KHz, 6 channels, 1 509 Kbps | 8 Episodes,
Genre: Action | Adventure | Sci-Fi"
Siemens Simcenter Testlab 18.0,Applications,Windows,OS: Windows 32/64bit | Language: English | Size: 5 GB
Closer UK - 19 September 2018,Books,Magazines,English | 100 pages | True PDF | 15.1 MB
Green Communications and Networking,Books,EBooks,2013 | ISBN-10: 1439899134 | 399 pages | PDF | 5 MB
"They Shoot... They Score!: Lessons in Leadership, Innovation and Strategy from the Business of Sports",Books,EBooks,"English | August 1st, 2018 | ISBN: 1543942059 | 600 Pages | EPUB | 1.19 MB"
Effective Help Desk Specialist Skills,Books,EBooks,"English | November 16, 2014 | ISBN: 0789752409 | 456 pages | AZW3 | 6.20 MB"
José Carreras - A Life In Music (2016) Mp3,Music,Mp3,"
Mp3 CBR 320 kbps | Oper, Sinfonien, Classical | 01:51:28 | 256 Mb"
